zona_calidad_aire_codigo;zona_calidad_aire_descripcion;zona_calidad_aire_municipio
5;ZONA 5 SIERRA NORTE;LA CABRERA
5;ZONA 5 SIERRA NORTE;CANENCIA
5;ZONA 5 SIERRA NORTE;CERVERA DE BUITRAGO
5;ZONA 5 SIERRA NORTE;FRESNO DE TOROTE
5;ZONA 5 SIERRA NORTE;FUENTE EL SAZ DE JARAMA
5;ZONA 5 SIERRA NORTE;GARGANTA DE LOS MONTES
5;ZONA 5 SIERRA NORTE;GARGANTILLA DEL LOZOYA Y PINILLA DE BUITRAGO
5;ZONA 5 SIERRA NORTE;GASCONES
5;ZONA 5 SIERRA NORTE;GUADALIX DE LA SIERRA
5;ZONA 5 SIERRA NORTE;LA HIRUELA
5;ZONA 5 SIERRA NORTE;HORCAJO DE LA SIERRA
5;ZONA 5 SIERRA NORTE;HORCAJUELO DE LA SIERRA
5;ZONA 5 SIERRA NORTE;LOZOYA
5;ZONA 5 SIERRA NORTE;LOZOYUELA-NAVAS-SIETEIGLESIAS
5;ZONA 5 SIERRA NORTE;MADARCOS
5;ZONA 5 SIERRA NORTE;MANZANARES EL REAL
5;ZONA 5 SIERRA NORTE;MIRAFLORES DE LA SIERRA
5;ZONA 5 SIERRA NORTE;EL MOLAR
5;ZONA 5 SIERRA NORTE;MONTEJO DE LA SIERRA
5;ZONA 5 SIERRA NORTE;NAVACERRADA
5;ZONA 5 SIERRA NORTE;NAVALAFUENTE
5;ZONA 5 SIERRA NORTE;NAVARREDONDA Y SAN MAMÉS
5;ZONA 5 SIERRA NORTE;PATONES
5;ZONA 5 SIERRA NORTE;PEDREZUELA
5;ZONA 5 SIERRA NORTE;PINILLA DEL VALLE
5;ZONA 5 SIERRA NORTE;PIÑUECAR-GANDULLAS
5;ZONA 5 SIERRA NORTE;PRADENA DEL RINCÓN
5;ZONA 5 SIERRA NORTE;PUEBLA DE LA SIERRA
5;ZONA 5 SIERRA NORTE;PUENTES VIEJAS
5;ZONA 5 SIERRA NORTE;RASCAFRÍA
5;ZONA 5 SIERRA NORTE;REDUEÑA
5;ZONA 5 SIERRA NORTE;RIBATEJADA
5;ZONA 5 SIERRA NORTE;ROBLEDILLO DE LA JARA
5;ZONA 5 SIERRA NORTE;ROBREGORDO
5;ZONA 5 SIERRA NORTE;LA SERNA DEL MONTE
5;ZONA 5 SIERRA NORTE;SOMOSIERRA
5;ZONA 5 SIERRA NORTE;SOTO DEL REAL
5;ZONA 5 SIERRA NORTE;TALAMANCA DE JARAMA
5;ZONA 5 SIERRA NORTE;TORRELAGUNA
5;ZONA 5 SIERRA NORTE;TORREMOCHA DE JARAMA
5;ZONA 5 SIERRA NORTE;VALDEAVERO
5;ZONA 5 SIERRA NORTE;VALDEMANCO
5;ZONA 5 SIERRA NORTE;VALDEOLMOS ALALPARDO
5;ZONA 5 SIERRA NORTE;VALDEPIÉLAGOS
5;ZONA 5 SIERRA NORTE;VALDETORRES DE JARAMA
5;ZONA 5 SIERRA NORTE;EL VELLÓN
5;ZONA 5 SIERRA NORTE;VENTURADA
5;ZONA 5 SIERRA NORTE;VILLAVIEJA DEL LOZOYA
6;ZONA 6 CUENCA DEL ALBERCHE;ALDEA DEL FRESNO
6;ZONA 6 CUENCA DEL ALBERCHE;BRUNETE
6;ZONA 6 CUENCA DEL ALBERCHE;CADALSO DE LOS VIDRIOS
6;ZONA 6 CUENCA DEL ALBERCHE;CENICIENTOS
6;ZONA 6 CUENCA DEL ALBERCHE;CHAPINERÍA
6;ZONA 6 CUENCA DEL ALBERCHE;COLMENAR DEL ARROYO
6;ZONA 6 CUENCA DEL ALBERCHE;FRESNEDILLAS DE LA OLIVA
6;ZONA 6 CUENCA DEL ALBERCHE;NAVALAGAMELLA
6;ZONA 6 CUENCA DEL ALBERCHE;NAVAS DEL REY
6;ZONA 6 CUENCA DEL ALBERCHE;PELAYOS DE LA PRESA
6;ZONA 6 CUENCA DEL ALBERCHE;QUIJORNA
6;ZONA 6 CUENCA DEL ALBERCHE;ROBLEDO DE CHAVELA
6;ZONA 6 CUENCA DEL ALBERCHE;ROZAS DE PUERTO REAL
6;ZONA 6 CUENCA DEL ALBERCHE;SAN MARTÍN DE VALDEIGLESIAS
6;ZONA 6 CUENCA DEL ALBERCHE;SANTA MARÍA DE LA ALAMEDA
6;ZONA 6 CUENCA DEL ALBERCHE;SEVILLA LA NUEVA
6;ZONA 6 CUENCA DEL ALBERCHE;VALDEMAQUEDA
6;ZONA 6 CUENCA DEL ALBERCHE;VALDEMORILLO
6;ZONA 6 CUENCA DEL ALBERCHE;VILLA DEL PRADO
6;ZONA 6 CUENCA DEL ALBERCHE;VILLAMANTA
6;ZONA 6 CUENCA DEL ALBERCHE;VILLAMANTILLA
6;ZONA 6 CUENCA DEL ALBERCHE;VILLANUEVA DE PERALES
6;ZONA 6 CUENCA DEL ALBERCHE;ZARZALEJO
7;ZONA 7 CUENCA DEL TAJUÑA;AMBITE
7;ZONA 7 CUENCA DEL TAJUÑA;BELMONTE DE TAJO
7;ZONA 7 CUENCA DEL TAJUÑA;BREA DE TAJO
7;ZONA 7 CUENCA DEL TAJUÑA;CAMPO REAL
7;ZONA 7 CUENCA DEL TAJUÑA;CARABAÑA
7;ZONA 7 CUENCA DEL TAJUÑA;CORPA
7;ZONA 7 CUENCA DEL TAJUÑA;ESTREMERA
7;ZONA 7 CUENCA DEL TAJUÑA;FUENTIDUEÑA DE TAJO
7;ZONA 7 CUENCA DEL TAJUÑA;NUEVO BAZTÁN
7;ZONA 7 CUENCA DEL TAJUÑA;OLMEDA DE LAS FUENTES
7;ZONA 7 CUENCA DEL TAJUÑA;ORUSCO DE TAJUÑA
7;ZONA 7 CUENCA DEL TAJUÑA;PERALES DE TAJUÑA
7;ZONA 7 CUENCA DEL TAJUÑA;PEZUELA DE LAS TORRES
7;ZONA 7 CUENCA DEL TAJUÑA;POZUELO DEL REY
7;ZONA 7 CUENCA DEL TAJUÑA;SANTORCAZ
7;ZONA 7 CUENCA DEL TAJUÑA;TIELMES
7;ZONA 7 CUENCA DEL TAJUÑA;VALDARACETE
7;ZONA 7 CUENCA DEL TAJUÑA;VALDELAGUNA
7;ZONA 7 CUENCA DEL TAJUÑA;VALDILECHA
7;ZONA 7 CUENCA DEL TAJUÑA;VALVERDE DE ALCALÁ
7;ZONA 7 CUENCA DEL TAJUÑA;VILLAMANRIQUE DE TAJO
7;ZONA 7 CUENCA DEL TAJUÑA;VILLAR DEL OLMO
7;ZONA 7 CUENCA DEL TAJUÑA;VILLAREJO DE SALVANÉS
